,key
1281,KSJ2:LPN
1282,todo
1283,narrow
1284,handrail:left
1285,passenger
1286,brand:website
1287,beauty
1288,handrail:right
1289,contact:mobile
1290,ref:drain_zone
1291,taxon:cultivar
1292,official_name:ru
1293,legal_type:FR
1294,catastro:codigo
1295,ref:drain_type
1296,ref:drain_number
1297,fire_hydrant:city
1298,ref:FR:STIF:stop_id
1299,winter_service
1300,motor_vehicle:conditional
1301,heritage:ref
1302,name:cy
1303,parking:condition:right
1304,source:lake
1305,recycling:plastic_packaging
1306,ref:FR:SIREN
1307,cycle_network
1308,genus:fr
1309,socket:type2
1310,parcel_mail_in
1311,generator:place
1312,tiger:mtfcc
1313,TMC:cid_58:tabcd_1:NextLocationCode
1314,TMC:cid_58:tabcd_1:PrevLocationCode
1315,ref:ProRailSpoortak
1316,rednap:latitud
1317,rednap:longitud
1318,source:wfs
1319,rednap:numero
1320,rednap:tipo
1321,rednap:codigoine
1322,rednap:posicion
1323,rednap:ficha
1324,rednap:grupo
1325,rednap:nodo
1326,seamark:beacon_lateral:category
1327,bus:lanes
1328,service_times
1329,name:hsb
1330,payment:american_express
1331,SEP:CLAVEESC
1332,crossing:saltire
1333,source:maxspeed:forward
1334,llid
1335,railway:signal:minor:height
1336,official_name:be
1337,DeKalb:id
1338,us.fo:kommununr
1339,stop_id
1340,railway:milestone:emergency_brake_override
1341,recycling:waste
1342,ref:ar
1343,railway:ctcs
1344,guidepost
1345,destination:ref:to
1346,stream
1347,ref:oslo:tree
1348,structure_gauge
1349,ref:caclr
1350,disused:highway
1351,ref:FR:bordeaux:tree
1352,description:de
1353,name:ml
1354,naptan:Notes
1355,4wd_only
1356,facebook
1357,source:maxspeed:backward
1358,bridge:support
1359,surface:grade
1360,max_age
1361,duration
1362,destination:ref:lanes
1363,source:lit
1364,maxspeed:variable
1365,TMC:cid_58:tabcd_1:Direction
1366,paloalto_ca:id
1367,ref:lor
1368,operator:ref:FR:SIRET
1369,rednap:altitudortometrica
1370,seamark:source
1371,name:tr
1372,object:postcode
1373,payment:contactless
1374,fireplace
1375,emergency_telephone_code
1376,exit
1377,rating
1378,class:bicycle
1379,tents
1380,source:power
1381,ele:accuracy
1382,station
1383,railway:signal:main:substitute_signal
1384,school:type_idn
1385,organic
1386,railway:tbl
1387,name:pa
1388,diocese
1389,lamp_model:de
1390,year_of_construction
1391,tumulus
1392,parking:lane:both:parallel
1393,ship
1394,object:country
1395,contact:ok
1396,rcn
1397,ref:colour_tx
1398,addr:locality
1399,abandoned:man_made
1400,clc:year
1401,ramp:wheelchair
1402,recycling:cardboard
1403,traffic
1404,name:nan-HJ
1405,KSJ2:forest_id
1406,KSJ2:DFC_label
1407,us.fo:Postnr
1408,us.fo:Galdandi_frá
1409,us.fo:Adressutal
1410,us.fo:Veganr
1411,seamark:beacon_lateral:colour
1412,KSJ2:DFC
1413,traces
1414,ref:edubase
1415,KSJ2:PRC
1416,KSJ2:BDC
1417,KSJ2:PRC_label
1418,teryt:rm
1419,castle_type
1420,toilets:access
1421,tomb
1422,ref:fid
1423,ref:kystverket
1424,memorial:addr
1425,lamp:count
1426,ref:ProRailID
1427,dcgis:featurecode
1428,description:en
1429,building:roof:shape
1430,railway:signal:minor:states
1431,conveying
1432,hov
1433,sorting_name
1434,access:delivery
1435,highway:class:pl
1436,canoe
1437,check_date:shelter
1438,ref:cadc:2020
1439,source:streetnumber
1440,taxi
1441,height:median
1442,townhall:type
1443,parking:condition:left
1444,operator:ja_rm
1445,IBGE:GEOCODIGO
1446,kvl_hro:type
1447,navigationaid
1448,listed_status
1449,roof:orientation:compass
1450,name:mk
1451,name:ms
1452,building:adjacency
1453,piste:name
1454,ferry
1455,VRS:gemeinde
1456,gritting
1457,LandPro08:LC_NAME
1458,LandPro08:LU_NAME
1459,VRS:ortsteil
1460,name:pnb
1461,LandPro08:DE3
1462,name:ta
1463,railway:atc
1464,subject
1465,VRS:ref
1466,display
1467,LandPro08:reviewed
1468,wood:age
1469,ramp:stroller
1470,lamp:tilt
1471,teryt:stan_na
1472,parking:both
1473,fhrs:local_authority_id
1474,cycleway:right:oneway
1475,lockable
1476,toll:N3
1477,operator:website
1478,fhrs:authority
1479,parking:lane:right:parallel
1480,power_supply
1481,seamark:notice:function
1482,memorial:text
1483,seamark:notice:category
1484,okato:user
1485,species:wikipedia
1486,railway:rail
1487,source:area
1488,construction:railway:etcs
1489,light_rail
1490,compressed_air
1491,video
1492,gtfs:feed
1493,cai_scale
1494,piste:oneway
1495,ref:mise
1496,massgis:ARTICLE97
1497,oneway:mofa
1498,bbr:husnummer
1499,massgis:ATT_DATE
1500,toilets:handwashing
1501,cycleway:left:lane
1502,maxweight:conditional
1503,caravans
1504,seamark:light:range
1505,turn
1506,placement:forward
1507,ref:type
1508,massgis:OS_ID
1509,siruta:code
1510,name:tt
1511,massgis:ASSESS_ACR
1512,tiger:STATEFP
1513,source:height
1514,tree:ref_area
1515,oneway:moped
1516,fdot:sis
1517,brand:ru
1518,aquaculture
1519,seamark:light:height
1520,tiger:MTFCC
1521,maxlength
1522,FMMP_modified
1523,flag:wikidata
1524,KSJ2:BDC_label
1525,massgis:PRIM_PURP
1526,massgis:FEE_OWNER
1527,massgis:PUB_ACCESS
1528,carriage
1529,massgis:OWNER_TYPE
1530,maxspeed:freight
1531,massgis:FEESYM
1532,massgis:TOWN_ID
1533,massgis:LEV_PROT
1534,flag:name
1535,check_date:crossing
